#   Theta  Young's-Modulus  Shear-Modulus    Poisson's-Ratio
#   You can plot in 2D-polar coordinates 
   34.500    180.0674           65.3244           0.3783
   35.000    180.0674           65.3244           0.3783
   35.500    180.0674           65.3244           0.3783
   36.000    180.0674           65.3244           0.3783
   36.500    180.0674           65.3244           0.3783
   37.000    180.0674           65.3244           0.3783
   37.500    180.0674           65.3244           0.3783
   38.000    180.0674           65.3244           0.3783
   38.500    180.0674           65.3244           0.3783
   39.000    180.0674           65.3244           0.3783
   39.500    180.0674           65.3244           0.3783
   40.000    180.0674           65.3244           0.3783
   40.500    180.0674           65.3244           0.3783
   41.000    180.0674           65.3244           0.3783
   41.500    180.0674           65.3244           0.3783
   42.000    180.0674           65.3244           0.3783
   42.500    180.0674           65.3244           0.3783
   43.000    180.0674           65.3244           0.3783
   43.500    180.0674           65.3244           0.3783
   44.000    180.0674           65.3244           0.3783
   44.500    180.0674           65.3244           0.3783
   45.000    180.0674           65.3244           0.3783
   45.500    180.0674           65.3244           0.3783
   46.000    180.0674           65.3244           0.3783
   46.500    180.0674           65.3244           0.3783
   47.000    180.0674           65.3244           0.3783
   47.500    180.0674           65.3244           0.3783
   48.000    180.0674           65.3244           0.3783
   48.500    180.0674           65.3244           0.3783
   49.000    180.0674           65.3244           0.3783
   49.500    180.0674           65.3244           0.3783
   50.000    180.0674           65.3244           0.3783
   50.500    180.0674           65.3244           0.3783
   51.000    180.0674           65.3244           0.3783
   51.500    180.0674           65.3244           0.3783
   52.000    180.0674           65.3244           0.3783
   52.500    180.0674           65.3244           0.3783
   53.000    180.0674           65.3244           0.3783
   53.500    180.0674           65.3244           0.3783
   54.000    180.0674           65.3244           0.3783
   54.500    180.0674           65.3244           0.3783
   55.000    180.0674           65.3244           0.3783
   55.500    180.0674           65.3244           0.3783
   56.000    180.0674           65.3244           0.3783
   56.500    180.0674           65.3244           0.3783
   57.000    180.0674           65.3244           0.3783
   57.500    180.0674           65.3244           0.3783
   58.000    180.0674           65.3244           0.3783
   58.500    180.0674           65.3244           0.3783
   59.000    180.0674           65.3244           0.3783
   59.500    180.0674           65.3244           0.3783
   60.000    180.0674           65.3244           0.3783
   60.500    180.0674           65.3244           0.3783
   61.000    180.0674           65.3244           0.3783
   61.500    180.0674           65.3244           0.3783
   62.000    180.0674           65.3244           0.3783
   62.500    180.0674           65.3244           0.3783
   63.000    180.0674           65.3244           0.3783
   63.500    180.0674           65.3244           0.3783
   64.000    180.0674           65.3244           0.3783
   64.500    180.0674           65.3244           0.3783
   65.000    180.0674           65.3244           0.3783
   65.500    180.0674           65.3244           0.3783
   66.000    180.0674           65.3244           0.3783
   66.500    180.0674           65.3244           0.3783
   67.000    180.0674           65.3244           0.3783
   67.500    180.0674           65.3244           0.3783
   68.000    180.0674           65.3244           0.3783
   68.500    180.0674           65.3244           0.3783
   69.000    180.0674           65.3244           0.3783
   69.500    180.0674           65.3244           0.3783
   70.000    180.0674           65.3244           0.3783
   70.500    180.0674           65.3244           0.3783
   71.000    180.0674           65.3244           0.3783
   71.500    180.0674           65.3244           0.3783
   72.000    180.0674           65.3244           0.3783
   72.500    180.0674           65.3244           0.3783
   73.000    180.0674           65.3244           0.3783
   73.500    180.0674           65.3244           0.3783
   74.000    180.0674           65.3244           0.3783
   74.500    180.0674           65.3244           0.3783
   75.000    180.0674           65.3244           0.3783
   75.500    180.0674           65.3244           0.3783
   76.000    180.0674           65.3244           0.3783
   76.500    180.0674           65.3244           0.3783
   77.000    180.0674           65.3244           0.3783
   77.500    180.0674           65.3244           0.3783
   78.000    180.0674           65.3244           0.3783
   78.500    180.0674           65.3244           0.3783
   79.000    180.0674           65.3244           0.3783
   79.500    180.0674           65.3244           0.3783
   80.000    180.0674           65.3244           0.3783
   80.500    180.0674           65.3244           0.3783
   81.000    180.0674           65.3244           0.3783
   81.500    180.0674           65.3244           0.3783
   82.000    180.0674           65.3244           0.3783
   82.500    180.0674           65.3244           0.3783
   83.000    180.0674           65.3244           0.3783
   83.500    180.0674           65.3244           0.3783
   84.000    180.0674           65.3244           0.3783
   84.500    180.0674           65.3244           0.3783
   85.000    180.0674           65.3244           0.3783
   85.500    180.0674           65.3244           0.3783
   86.000    180.0674           65.3244           0.3783
   86.500    180.0674           65.3244           0.3783
   87.000    180.0674           65.3244           0.3783
   87.500    180.0674           65.3244           0.3783
   88.000    180.0674           65.3244           0.3783
   88.500    180.0674           65.3244           0.3783
   89.000    180.0674           65.3244           0.3783
   89.500    180.0674           65.3244           0.3783
   90.000    180.0674           65.3244           0.3783
   90.500    180.0674           65.3244           0.3783
   91.000    180.0674           65.3244           0.3783
   91.500    180.0674           65.3244           0.3783
   92.000    180.0674           65.3244           0.3783
   92.500    180.0674           65.3244           0.3783
   93.000    180.0674           65.3244           0.3783
   93.500    180.0674           65.3244           0.3783
   94.000    180.0674           65.3244           0.3783
   94.500    180.0674           65.3244           0.3783
   95.000    180.0674           65.3244           0.3783
   95.500    180.0674           65.3244           0.3783
   96.000    180.0674           65.3244           0.3783
   96.500    180.0674           65.3244           0.3783
   97.000    180.0674           65.3244           0.3783
   97.500    180.0674           65.3244           0.3783
   98.000    180.0674           65.3244           0.3783
   98.500    180.0674           65.3244           0.3783
   99.000    180.0674           65.3244           0.3783
   99.500    180.0674           65.3244           0.3783
  100.000    180.0674           65.3244           0.3783
  100.500    180.0674           65.3244           0.3783
  101.000    180.0674           65.3244           0.3783
  101.500    180.0674           65.3244           0.3783
  102.000    180.0674           65.3244           0.3783
  102.500    180.0674           65.3244           0.3783
  103.000    180.0674           65.3244           0.3783
  103.500    180.0674           65.3244           0.3783
  104.000    180.0674           65.3244           0.3783
  104.500    180.0674           65.3244           0.3783
  105.000    180.0674           65.3244           0.3783
  105.500    180.0674           65.3244           0.3783
  106.000    180.0674           65.3244           0.3783
  106.500    180.0674           65.3244           0.3783
  107.000    180.0674           65.3244           0.3783
  107.500    180.0674           65.3244           0.3783
  108.000    180.0674           65.3244           0.3783
  108.500    180.0674           65.3244           0.3783
  109.000    180.0674           65.3244           0.3783
  109.500    180.0674           65.3244           0.3783
  110.000    180.0674           65.3244           0.3783
  110.500    180.0674           65.3244           0.3783
  111.000    180.0674           65.3244           0.3783
  111.500    180.0674           65.3244           0.3783
  112.000    180.0674           65.3244           0.3783
  112.500    180.0674           65.3244           0.3783
  113.000    180.0674           65.3244           0.3783
  113.500    180.0674           65.3244           0.3783
  114.000    180.0674           65.3244           0.3783
  114.500    180.0674           65.3244           0.3783
  115.000    180.0674           65.3244           0.3783
  115.500    180.0674           65.3244           0.3783
  116.000    180.0674           65.3244           0.3783
  116.500    180.0674           65.3244           0.3783
  117.000    180.0674           65.3244           0.3783
  117.500    180.0674           65.3244           0.3783
  118.000    180.0674           65.3244           0.3783
  118.500    180.0674           65.3244           0.3783
  119.000    180.0674           65.3244           0.3783
  119.500    180.0674           65.3244           0.3783
  120.000    180.0674           65.3244           0.3783
  120.500    180.0674           65.3244           0.3783
  121.000    180.0674           65.3244           0.3783
  121.500    180.0674           65.3244           0.3783
  122.000    180.0674           65.3244           0.3783
  122.500    180.0674           65.3244           0.3783
  123.000    180.0674           65.3244           0.3783
  123.500    180.0674           65.3244           0.3783
  124.000    180.0674           65.3244           0.3783
  124.500    180.0674           65.3244           0.3783
  125.000    180.0674           65.3244           0.3783
  125.500    180.0674           65.3244           0.3783
  126.000    180.0674           65.3244           0.3783
  126.500    180.0674           65.3244           0.3783
  127.000    180.0674           65.3244           0.3783
  127.500    180.0674           65.3244           0.3783
  128.000    180.0674           65.3244           0.3783
  128.500    180.0674           65.3244           0.3783
  129.000    180.0674           65.3244           0.3783
  129.500    180.0674           65.3244           0.3783
  130.000    180.0674           65.3244           0.3783
  130.500    180.0674           65.3244           0.3783
  131.000    180.0674           65.3244           0.3783
  131.500    180.0674           65.3244           0.3783
  132.000    180.0674           65.3244           0.3783
  132.500    180.0674           65.3244           0.3783
  133.000    180.0674           65.3244           0.3783
  133.500    180.0674           65.3244           0.3783
  134.000    180.0674           65.3244           0.3783
  134.500    180.0674           65.3244           0.3783
  135.000    180.0674           65.3244           0.3783
  135.500    180.0674           65.3244           0.3783
  136.000    180.0674           65.3244           0.3783
  136.500    180.0674           65.3244           0.3783
  137.000    180.0674           65.3244           0.3783
  137.500    180.0674           65.3244           0.3783
  138.000    180.0674           65.3244           0.3783
  138.500    180.0674           65.3244           0.3783
  139.000    180.0674           65.3244           0.3783
  139.500    180.0674           65.3244           0.3783
  140.000    180.0674           65.3244           0.3783
  140.500    180.0674           65.3244           0.3783
  141.000    180.0674           65.3244           0.3783
  141.500    180.0674           65.3244           0.3783
  142.000    180.0674           65.3244           0.3783
  142.500    180.0674           65.3244           0.3783
  143.000    180.0674           65.3244           0.3783
  143.500    180.0674           65.3244           0.3783
  144.000    180.0674           65.3244           0.3783
  144.500    180.0674           65.3244           0.3783
  145.000    180.0674           65.3244           0.3783
  145.500    180.0674           65.3244           0.3783
  146.000    180.0674           65.3244           0.3783
  146.500    180.0674           65.3244           0.3783
  147.000    180.0674           65.3244           0.3783
  147.500    180.0674           65.3244           0.3783
  148.000    180.0674           65.3244           0.3783
  148.500    180.0674           65.3244           0.3783
  149.000    180.0674           65.3244           0.3783
  149.500    180.0674           65.3244           0.3783
  150.000    180.0674           65.3244           0.3783
  150.500    180.0674           65.3244           0.3783
  151.000    180.0674           65.3244           0.3783
  151.500    180.0674           65.3244           0.3783
  152.000    180.0674           65.3244           0.3783
  152.500    180.0674           65.3244           0.3783
  153.000    180.0674           65.3244           0.3783
  153.500    180.0674           65.3244           0.3783
  154.000    180.0674           65.3244           0.3783
  154.500    180.0674           65.3244           0.3783
  155.000    180.0674           65.3244           0.3783
  155.500    180.0674           65.3244           0.3783
  156.000    180.0674           65.3244           0.3783
  156.500    180.0674           65.3244           0.3783
  157.000    180.0674           65.3244           0.3783
  157.500    180.0674           65.3244           0.3783
  158.000    180.0674           65.3244           0.3783
  158.500    180.0674           65.3244           0.3783
  159.000    180.0674           65.3244           0.3783
  159.500    180.0674           65.3244           0.3783
  160.000    180.0674           65.3244           0.3783
  160.500    180.0674           65.3244           0.3783
  161.000    180.0674           65.3244           0.3783
  161.500    180.0674           65.3244           0.3783
  162.000    180.0674           65.3244           0.3783
  162.500    180.0674           65.3244           0.3783
  163.000    180.0674           65.3244           0.3783
  163.500    180.0674           65.3244           0.3783
  164.000    180.0674           65.3244           0.3783
  164.500    180.0674           65.3244           0.3783
  165.000    180.0674           65.3244           0.3783
  165.500    180.0674           65.3244           0.3783
  166.000    180.0674           65.3244           0.3783
  166.500    180.0674           65.3244           0.3783
  167.000    180.0674           65.3244           0.3783
  167.500    180.0674           65.3244           0.3783
  168.000    180.0674           65.3244           0.3783
  168.500    180.0674           65.3244           0.3783
  169.000    180.0674           65.3244           0.3783
  169.500    180.0674           65.3244           0.3783
  170.000    180.0674           65.3244           0.3783
  170.500    180.0674           65.3244           0.3783
  171.000    180.0674           65.3244           0.3783
  171.500    180.0674           65.3244           0.3783
  172.000    180.0674           65.3244           0.3783
  172.500    180.0674           65.3244           0.3783
  173.000    180.0674           65.3244           0.3783
  173.500    180.0674           65.3244           0.3783
  174.000    180.0674           65.3244           0.3783
  174.500    180.0674           65.3244           0.3783
  175.000    180.0674           65.3244           0.3783
  175.500    180.0674           65.3244           0.3783
  176.000    180.0674           65.3244           0.3783
  176.500    180.0674           65.3244           0.3783
  177.000    180.0674           65.3244           0.3783
  177.500    180.0674           65.3244           0.3783
  178.000    180.0674           65.3244           0.3783
  178.500    180.0674           65.3244           0.3783
  179.000    180.0674           65.3244           0.3783
  179.500    180.0674           65.3244           0.3783
  180.000    180.0674           65.3244           0.3783
  180.500    180.0674           65.3244           0.3783
  181.000    180.0674           65.3244           0.3783
  181.500    180.0674           65.3244           0.3783
  182.000    180.0674           65.3244           0.3783
  182.500    180.0674           65.3244           0.3783
  183.000    180.0674           65.3244           0.3783
  183.500    180.0674           65.3244           0.3783
  184.000    180.0674           65.3244           0.3783
  184.500    180.0674           65.3244           0.3783
  185.000    180.0674           65.3244           0.3783
  185.500    180.0674           65.3244           0.3783
  186.000    180.0674           65.3244           0.3783
  186.500    180.0674           65.3244           0.3783
  187.000    180.0674           65.3244           0.3783
  187.500    180.0674           65.3244           0.3783
  188.000    180.0674           65.3244           0.3783
  188.500    180.0674           65.3244           0.3783
  189.000    180.0674           65.3244           0.3783
  189.500    180.0674           65.3244           0.3783
  190.000    180.0674           65.3244           0.3783
  190.500    180.0674           65.3244           0.3783
  191.000    180.0674           65.3244           0.3783
  191.500    180.0674           65.3244           0.3783
  192.000    180.0674           65.3244           0.3783
  192.500    180.0674           65.3244           0.3783
  193.000    180.0674           65.3244           0.3783
  193.500    180.0674           65.3244           0.3783
  194.000    180.0674           65.3244           0.3783
  194.500    180.0674           65.3244           0.3783
  195.000    180.0674           65.3244           0.3783
  195.500    180.0674           65.3244           0.3783
  196.000    180.0674           65.3244           0.3783
  196.500    180.0674           65.3244           0.3783
  197.000    180.0674           65.3244           0.3783
  197.500    180.0674           65.3244           0.3783
  198.000    180.0674           65.3244           0.3783
  198.500    180.0674           65.3244           0.3783
  199.000    180.0674           65.3244           0.3783
  199.500    180.0674           65.3244           0.3783
  200.000    180.0674           65.3244           0.3783
  200.500    180.0674           65.3244           0.3783
  201.000    180.0674           65.3244           0.3783
  201.500    180.0674           65.3244           0.3783
  202.000    180.0674           65.3244           0.3783
  202.500    180.0674           65.3244           0.3783
  203.000    180.0674           65.3244           0.3783
  203.500    180.0674           65.3244           0.3783
  204.000    180.0674           65.3244           0.3783
  204.500    180.0674           65.3244           0.3783
  205.000    180.0674           65.3244           0.3783
  205.500    180.0674           65.3244           0.3783
  206.000    180.0674           65.3244           0.3783
  206.500    180.0674           65.3244           0.3783
  207.000    180.0674           65.3244           0.3783
  207.500    180.0674           65.3244           0.3783
  208.000    180.0674           65.3244           0.3783
  208.500    180.0674           65.3244           0.3783
  209.000    180.0674           65.3244           0.3783
  209.500    180.0674           65.3244           0.3783
  210.000    180.0674           65.3244           0.3783
  210.500    180.0674           65.3244           0.3783
  211.000    180.0674           65.3244           0.3783
  211.500    180.0674           65.3244           0.3783
  212.000    180.0674           65.3244           0.3783
  212.500    180.0674           65.3244           0.3783
  213.000    180.0674           65.3244           0.3783
  213.500    180.0674           65.3244           0.3783
  214.000    180.0674           65.3244           0.3783
  214.500    180.0674           65.3244           0.3783
  215.000    180.0674           65.3244           0.3783
  215.500    180.0674           65.3244           0.3783
  216.000    180.0674           65.3244           0.3783
  216.500    180.0674           65.3244           0.3783
  217.000    180.0674           65.3244           0.3783
  217.500    180.0674           65.3244           0.3783
  218.000    180.0674           65.3244           0.3783
  218.500    180.0674           65.3244           0.3783
  219.000    180.0674           65.3244           0.3783
  219.500    180.0674           65.3244           0.3783
  220.000    180.0674           65.3244           0.3783
  220.500    180.0674           65.3244           0.3783
  221.000    180.0674           65.3244           0.3783
  221.500    180.0674           65.3244           0.3783
  222.000    180.0674           65.3244           0.3783
  222.500    180.0674           65.3244           0.3783
  223.000    180.0674           65.3244           0.3783
  223.500    180.0674           65.3244           0.3783
  224.000    180.0674           65.3244           0.3783
  224.500    180.0674           65.3244           0.3783
  225.000    180.0674           65.3244           0.3783
  225.500    180.0674           65.3244           0.3783
  226.000    180.0674           65.3244           0.3783
  226.500    180.0674           65.3244           0.3783
  227.000    180.0674           65.3244           0.3783
  227.500    180.0674           65.3244           0.3783
  228.000    180.0674           65.3244           0.3783
  228.500    180.0674           65.3244           0.3783
  229.000    180.0674           65.3244           0.3783
  229.500    180.0674           65.3244           0.3783
  230.000    180.0674           65.3244           0.3783
  230.500    180.0674           65.3244           0.3783
  231.000    180.0674           65.3244           0.3783
  231.500    180.0674           65.3244           0.3783
  232.000    180.0674           65.3244           0.3783
  232.500    180.0674           65.3244           0.3783
  233.000    180.0674           65.3244           0.3783
  233.500    180.0674           65.3244           0.3783
  234.000    180.0674           65.3244           0.3783
  234.500    180.0674           65.3244           0.3783
  235.000    180.0674           65.3244           0.3783
  235.500    180.0674           65.3244           0.3783
  236.000    180.0674           65.3244           0.3783
  236.500    180.0674           65.3244           0.3783
  237.000    180.0674           65.3244           0.3783
  237.500    180.0674           65.3244           0.3783
  238.000    180.0674           65.3244           0.3783
  238.500    180.0674           65.3244           0.3783
  239.000    180.0674           65.3244           0.3783
  239.500    180.0674           65.3244           0.3783
  240.000    180.0674           65.3244           0.3783
  240.500    180.0674           65.3244           0.3783
  241.000    180.0674           65.3244           0.3783
  241.500    180.0674           65.3244           0.3783
  242.000    180.0674           65.3244           0.3783
  242.500    180.0674           65.3244           0.3783
  243.000    180.0674           65.3244           0.3783
  243.500    180.0674           65.3244           0.3783
  244.000    180.0674           65.3244           0.3783
  244.500    180.0674           65.3244           0.3783
  245.000    180.0674           65.3244           0.3783
  245.500    180.0674           65.3244           0.3783
  246.000    180.0674           65.3244           0.3783
  246.500    180.0674           65.3244           0.3783
  247.000    180.0674           65.3244           0.3783
  247.500    180.0674           65.3244           0.3783
  248.000    180.0674           65.3244           0.3783
  248.500    180.0674           65.3244           0.3783
  249.000    180.0674           65.3244           0.3783
  249.500    180.0674           65.3244           0.3783
  250.000    180.0674           65.3244           0.3783
  250.500    180.0674           65.3244           0.3783
  251.000    180.0674           65.3244           0.3783
  251.500    180.0674           65.3244           0.3783
  252.000    180.0674           65.3244           0.3783
  252.500    180.0674           65.3244           0.3783
  253.000    180.0674           65.3244           0.3783
  253.500    180.0674           65.3244           0.3783
  254.000    180.0674           65.3244           0.3783
  254.500    180.0674           65.3244           0.3783
  255.000    180.0674           65.3244           0.3783
  255.500    180.0674           65.3244           0.3783
  256.000    180.0674           65.3244           0.3783
  256.500    180.0674           65.3244           0.3783
  257.000    180.0674           65.3244           0.3783
  257.500    180.0674           65.3244           0.3783
  258.000    180.0674           65.3244           0.3783
  258.500    180.0674           65.3244           0.3783
  259.000    180.0674           65.3244           0.3783
  259.500    180.0674           65.3244           0.3783
  260.000    180.0674           65.3244           0.3783
  260.500    180.0674           65.3244           0.3783
  261.000    180.0674           65.3244           0.3783
  261.500    180.0674           65.3244           0.3783
  262.000    180.0674           65.3244           0.3783
  262.500    180.0674           65.3244           0.3783
  263.000    180.0674           65.3244           0.3783
  263.500    180.0674           65.3244           0.3783
  264.000    180.0674           65.3244           0.3783
  264.500    180.0674           65.3244           0.3783
  265.000    180.0674           65.3244           0.3783
  265.500    180.0674           65.3244           0.3783
  266.000    180.0674           65.3244           0.3783
  266.500    180.0674           65.3244           0.3783
  267.000    180.0674           65.3244           0.3783
  267.500    180.0674           65.3244           0.3783
  268.000    180.0674           65.3244           0.3783
  268.500    180.0674           65.3244           0.3783
  269.000    180.0674           65.3244           0.3783
  269.500    180.0674           65.3244           0.3783
  270.000    180.0674           65.3244           0.3783
  270.500    180.0674           65.3244           0.3783
  271.000    180.0674           65.3244           0.3783
  271.500    180.0674           65.3244           0.3783
  272.000    180.0674           65.3244           0.3783
  272.500    180.0674           65.3244           0.3783
  273.000    180.0674           65.3244           0.3783
  273.500    180.0674           65.3244           0.3783
  274.000    180.0674           65.3244           0.3783
  274.500    180.0674           65.3244           0.3783
  275.000    180.0674           65.3244           0.3783
  275.500    180.0674           65.3244           0.3783
  276.000    180.0674           65.3244           0.3783
  276.500    180.0674           65.3244           0.3783
  277.000    180.0674           65.3244           0.3783
  277.500    180.0674           65.3244           0.3783
  278.000    180.0674           65.3244           0.3783
  278.500    180.0674           65.3244           0.3783
  279.000    180.0674           65.3244           0.3783
  279.500    180.0674           65.3244           0.3783
  280.000    180.0674           65.3244           0.3783
  280.500    180.0674           65.3244           0.3783
  281.000    180.0674           65.3244           0.3783
  281.500    180.0674           65.3244           0.3783
  282.000    180.0674           65.3244           0.3783
  282.500    180.0674           65.3244           0.3783
  283.000    180.0674           65.3244           0.3783
  283.500    180.0674           65.3244           0.3783
  284.000    180.0674           65.3244           0.3783
  284.500    180.0674           65.3244           0.3783
  285.000    180.0674           65.3244           0.3783
  285.500    180.0674           65.3244           0.3783
  286.000    180.0674           65.3244           0.3783
  286.500    180.0674           65.3244           0.3783
  287.000    180.0674           65.3244           0.3783
  287.500    180.0674           65.3244           0.3783
  288.000    180.0674           65.3244           0.3783
  288.500    180.0674           65.3244           0.3783
  289.000    180.0674           65.3244           0.3783
  289.500    180.0674           65.3244           0.3783
  290.000    180.0674           65.3244           0.3783
  290.500    180.0674           65.3244           0.3783
  291.000    180.0674           65.3244           0.3783
  291.500    180.0674           65.3244           0.3783
  292.000    180.0674           65.3244           0.3783
  292.500    180.0674           65.3244           0.3783
  293.000    180.0674           65.3244           0.3783
  293.500    180.0674           65.3244           0.3783
  294.000    180.0674           65.3244           0.3783
  294.500    180.0674           65.3244           0.3783
  295.000    180.0674           65.3244           0.3783
  295.500    180.0674           65.3244           0.3783
  296.000    180.0674           65.3244           0.3783
  296.500    180.0674           65.3244           0.3783
  297.000    180.0674           65.3244           0.3783
  297.500    180.0674           65.3244           0.3783
  298.000    180.0674           65.3244           0.3783
  298.500    180.0674           65.3244           0.3783
  299.000    180.0674           65.3244           0.3783
  299.500    180.0674           65.3244           0.3783
  300.000    180.0674           65.3244           0.3783
  300.500    180.0674           65.3244           0.3783
  301.000    180.0674           65.3244           0.3783
  301.500    180.0674           65.3244           0.3783
  302.000    180.0674           65.3244           0.3783
  302.500    180.0674           65.3244           0.3783
  303.000    180.0674           65.3244           0.3783
  303.500    180.0674           65.3244           0.3783
  304.000    180.0674           65.3244           0.3783
  304.500    180.0674           65.3244           0.3783
  305.000    180.0674           65.3244           0.3783
  305.500    180.0674           65.3244           0.3783
  306.000    180.0674           65.3244           0.3783
  306.500    180.0674           65.3244           0.3783
  307.000    180.0674           65.3244           0.3783
  307.500    180.0674           65.3244           0.3783
  308.000    180.0674           65.3244           0.3783
  308.500    180.0674           65.3244           0.3783
  309.000    180.0674           65.3244           0.3783
  309.500    180.0674           65.3244           0.3783
  310.000    180.0674           65.3244           0.3783
  310.500    180.0674           65.3244           0.3783
  311.000    180.0674           65.3244           0.3783
  311.500    180.0674           65.3244           0.3783
  312.000    180.0674           65.3244           0.3783
  312.500    180.0674           65.3244           0.3783
  313.000    180.0674           65.3244           0.3783
  313.500    180.0674           65.3244           0.3783
  314.000    180.0674           65.3244           0.3783
  314.500    180.0674           65.3244           0.3783
  315.000    180.0674           65.3244           0.3783
  315.500    180.0674           65.3244           0.3783
  316.000    180.0674           65.3244           0.3783
  316.500    180.0674           65.3244           0.3783
  317.000    180.0674           65.3244           0.3783
  317.500    180.0674           65.3244           0.3783
  318.000    180.0674           65.3244           0.3783
  318.500    180.0674           65.3244           0.3783
  319.000    180.0674           65.3244           0.3783
  319.500    180.0674           65.3244           0.3783
  320.000    180.0674           65.3244           0.3783
  320.500    180.0674           65.3244           0.3783
  321.000    180.0674           65.3244           0.3783
  321.500    180.0674           65.3244           0.3783
  322.000    180.0674           65.3244           0.3783
  322.500    180.0674           65.3244           0.3783
  323.000    180.0674           65.3244           0.3783
  323.500    180.0674           65.3244           0.3783
  324.000    180.0674           65.3244           0.3783
  324.500    180.0674           65.3244           0.3783
  325.000    180.0674           65.3244           0.3783
  325.500    180.0674           65.3244           0.3783
  326.000    180.0674           65.3244           0.3783
  326.500    180.0674           65.3244           0.3783
  327.000    180.0674           65.3244           0.3783
  327.500    180.0674           65.3244           0.3783
  328.000    180.0674           65.3244           0.3783
  328.500    180.0674           65.3244           0.3783
  329.000    180.0674           65.3244           0.3783
  329.500    180.0674           65.3244           0.3783
  330.000    180.0674           65.3244           0.3783
  330.500    180.0674           65.3244           0.3783
  331.000    180.0674           65.3244           0.3783
  331.500    180.0674           65.3244           0.3783
  332.000    180.0674           65.3244           0.3783
  332.500    180.0674           65.3244           0.3783
  333.000    180.0674           65.3244           0.3783
  333.500    180.0674           65.3244           0.3783
  334.000    180.0674           65.3244           0.3783
  334.500    180.0674           65.3244           0.3783
  335.000    180.0674           65.3244           0.3783
  335.500    180.0674           65.3244           0.3783
  336.000    180.0674           65.3244           0.3783
  336.500    180.0674           65.3244           0.3783
  337.000    180.0674           65.3244           0.3783
  337.500    180.0674           65.3244           0.3783
  338.000    180.0674           65.3244           0.3783
  338.500    180.0674           65.3244           0.3783
  339.000    180.0674           65.3244           0.3783
  339.500    180.0674           65.3244           0.3783
  340.000    180.0674           65.3244           0.3783
  340.500    180.0674           65.3244           0.3783
  341.000    180.0674           65.3244           0.3783
  341.500    180.0674           65.3244           0.3783
  342.000    180.0674           65.3244           0.3783
  342.500    180.0674           65.3244           0.3783
  343.000    180.0674           65.3244           0.3783
  343.500    180.0674           65.3244           0.3783
  344.000    180.0674           65.3244           0.3783
  344.500    180.0674           65.3244           0.3783
  345.000    180.0674           65.3244           0.3783
  345.500    180.0674           65.3244           0.3783
  346.000    180.0674           65.3244           0.3783
  346.500    180.0674           65.3244           0.3783
